n_group,n_partitions,num_div_y,num_div_x
0,219,3.0,3.0
1,324,6.0,3.0
2,53,3.0,6.0
3,268,9.0,3.0
4,76,3.0,9.0
5,30,12.0,3.0
6,28,6.0,6.0
7,173,3.0,12.0
8,82,15.0,3.0
9,6,3.0,15.0
10,24,18.0,3.0
11,94,9.0,6.0
12,12,6.0,9.0
13,5,3.0,18.0
14,2,21.0,3.0
15,8,3.0,21.0
16,1,24.0,3.0
17,14,12.0,6.0
18,55,6.0,12.0
19,14,3.0,24.0
20,1,27.0,3.0
21,25,9.0,9.0
22,39,3.0,27.0
23,83,15.0,6.0
24,11,6.0,15.0
25,14,3.0,30.0
26,1,33.0,3.0
27,9,3.0,33.0
28,31,18.0,6.0
29,7,12.0,9.0
30,4,9.0,12.0
31,7,6.0,18.0
32,1,3.0,36.0
33,2,42.0,3.0
34,10,21.0,6.0
35,18,6.0,21.0
36,15,3.0,42.0
37,1,45.0,3.0
38,17,15.0,9.0
39,5,3.0,45.0
40,36,24.0,6.0
41,24,6.0,24.0
42,2,54.0,3.0
43,5,27.0,6.0
44,8,18.0,9.0
45,2,9.0,18.0
46,5,6.0,27.0
47,2,3.0,54.0
48,2,3.0,57.0
49,1,30.0,6.0
50,3,15.0,12.0
51,11,6.0,30.0
52,6,3.0,60.0
53,6,21.0,9.0
54,3,9.0,21.0
55,3,3.0,63.0
56,2,33.0,6.0
57,7,6.0,33.0
58,2,3.0,66.0
59,16,3.0,69.0
60,1,36.0,6.0
61,18,24.0,9.0
62,3,18.0,12.0
63,1,12.0,18.0
64,5,9.0,24.0
65,5,6.0,36.0
66,5,3.0,72.0
67,1,75.0,3.0
68,2,15.0,15.0
69,2,39.0,6.0
70,1,6.0,39.0
71,6,27.0,9.0
72,2,9.0,27.0
73,1,21.0,12.0
74,2,6.0,42.0
75,2,3.0,84.0
76,2,3.0,87.0
77,1,45.0,6.0
78,11,30.0,9.0
79,1,18.0,15.0
80,2,15.0,18.0
81,1,9.0,30.0
82,2,6.0,45.0
83,1,3.0,93.0
84,1,96.0,3.0
85,2,48.0,6.0
86,8,24.0,12.0
87,2,12.0,24.0
88,2,6.0,48.0
89,1,99.0,3.0
90,9,33.0,9.0
91,2,9.0,33.0
92,1,3.0,102.0
93,1,36.0,9.0
94,6,27.0,12.0
95,1,18.0,18.0
96,1,12.0,27.0
97,9,9.0,36.0
98,1,6.0,54.0
99,11,6.0,57.0
100,5,39.0,9.0
101,3,9.0,39.0
102,1,3.0,117.0
103,3,30.0,12.0
104,7,24.0,15.0
105,1,12.0,30.0
106,5,6.0,60.0
107,2,42.0,9.0
108,1,18.0,21.0
109,4,9.0,42.0
110,1,6.0,63.0
111,11,33.0,12.0
112,3,12.0,33.0
113,1,6.0,66.0
114,1,45.0,9.0
115,4,27.0,15.0
116,7,9.0,45.0
117,1,69.0,6.0
118,4,6.0,69.0
119,1,3.0,138.0
120,7,36.0,12.0
121,2,12.0,36.0
122,1,9.0,48.0
123,2,30.0,15.0
124,2,51.0,9.0
125,13,39.0,12.0
126,7,12.0,39.0
127,1,27.0,18.0
128,2,9.0,54.0
129,4,33.0,15.0
130,1,15.0,33.0
131,2,84.0,6.0
132,8,42.0,12.0
133,1,12.0,42.0
134,4,6.0,84.0
135,3,9.0,57.0
136,1,87.0,6.0
137,3,6.0,87.0
138,1,45.0,12.0
139,2,36.0,15.0
140,1,30.0,18.0
141,2,15.0,36.0
142,5,12.0,45.0
143,1,9.0,60.0
144,3,93.0,6.0
145,1,96.0,6.0
146,3,48.0,12.0
147,2,12.0,48.0
148,1,39.0,15.0
149,1,66.0,9.0
150,1,33.0,18.0
151,1,9.0,66.0
152,2,51.0,12.0
153,1,6.0,102.0
154,2,9.0,69.0
155,2,42.0,15.0
156,1,15.0,42.0
157,4,54.0,12.0
158,1,12.0,54.0
159,1,57.0,12.0
160,3,12.0,57.0
161,1,78.0,9.0
162,3,39.0,18.0
163,1,48.0,15.0
164,1,6.0,120.0
165,1,81.0,9.0
166,2,84.0,9.0
167,2,42.0,18.0
168,1,36.0,21.0
169,1,9.0,84.0
170,3,9.0,87.0
171,2,90.0,9.0
172,2,45.0,18.0
173,4,39.0,21.0
174,2,69.0,12.0
175,1,12.0,69.0
176,2,6.0,138.0
177,1,9.0,93.0
178,4,6.0,141.0
179,2,57.0,15.0
180,4,15.0,57.0
181,1,48.0,18.0
182,2,18.0,48.0
183,1,21.0,42.0
184,1,153.0,6.0
185,1,51.0,18.0
186,1,39.0,24.0
187,1,81.0,12.0
188,1,54.0,18.0
189,1,12.0,81.0
190,1,15.0,66.0
191,1,48.0,21.0
192,1,12.0,84.0
193,1,18.0,57.0
194,1,9.0,114.0
195,1,15.0,69.0
196,1,51.0,21.0
197,1,72.0,15.0
198,1,18.0,60.0
199,1,9.0,120.0
200,1,93.0,12.0
201,2,54.0,21.0
202,3,21.0,54.0
203,4,18.0,63.0
204,2,96.0,12.0
205,2,9.0,129.0
206,1,36.0,33.0
207,1,21.0,57.0
208,1,45.0,27.0
209,3,18.0,69.0
210,1,21.0,60.0
211,2,9.0,141.0
212,1,24.0,54.0
213,1,12.0,111.0
214,1,90.0,15.0
215,3,75.0,18.0
216,1,18.0,75.0
217,2,57.0,24.0
218,1,39.0,36.0
219,1,18.0,78.0
220,1,120.0,12.0
221,1,48.0,30.0
222,3,69.0,21.0
223,2,81.0,18.0
224,1,18.0,81.0
225,1,12.0,123.0
226,1,45.0,33.0
227,2,72.0,21.0
228,1,63.0,24.0
229,1,24.0,63.0
230,1,87.0,18.0
231,1,9.0,174.0
232,3,75.0,21.0
233,2,66.0,24.0
234,1,108.0,15.0
235,1,9.0,183.0
236,1,12.0,138.0
237,1,18.0,93.0
238,1,63.0,27.0
239,2,15.0,114.0
240,1,96.0,18.0
241,1,48.0,36.0
242,1,87.0,21.0
243,1,9.0,204.0
244,2,69.0,27.0
245,1,105.0,18.0
246,1,90.0,21.0
247,1,30.0,63.0
248,1,72.0,27.0
249,1,93.0,21.0
250,1,84.0,24.0
251,1,24.0,84.0
252,1,12.0,171.0
253,1,63.0,33.0
254,2,87.0,24.0
255,1,18.0,117.0
256,1,15.0,141.0
257,4,21.0,102.0
258,1,90.0,24.0
259,1,81.0,27.0
260,1,105.0,21.0
261,1,15.0,147.0
262,1,51.0,45.0
263,1,48.0,48.0
264,1,24.0,96.0
265,1,18.0,129.0
266,1,99.0,24.0
267,1,30.0,81.0
268,1,102.0,24.0
269,1,9.0,279.0
270,1,15.0,168.0
271,2,15.0,171.0
272,1,66.0,39.0
273,2,108.0,24.0
274,1,96.0,27.0
275,1,111.0,24.0
276,1,102.0,27.0
277,1,33.0,87.0
278,1,21.0,141.0
279,1,84.0,36.0
280,1,18.0,168.0
281,1,27.0,114.0
282,2,36.0,87.0
283,1,99.0,33.0
284,1,12.0,279.0
285,1,57.0,60.0
286,1,18.0,198.0
287,1,18.0,201.0
288,1,42.0,87.0
