group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
1,0,9.0,20,5,0.0,0,0,0,0,9.0
2,7,0.0,14,1,3.0,0,0,0,0,3.0
2,1,0.0,13,0,3.0,0,0,0,0,3.0
2,3,0.0,5,1,3.0,0,0,0,0,3.0
2,0,0.0,5,2,3.0,0,0,0,0,3.0
3,0,0.0,31,0,0.0,0,0,0,0,36.0
4,0,9.0,19,0,0.0,0,0,0,0,6.0
4,0,15.0,27,0,0.0,0,0,0,0,24.0
5,2,0.0,24,0,3.0,0,0,0,0,6.0
5,0,0.0,2,8,0.0,0,0,0,0,3.0
5,1,0.0,22,0,3.0,0,0,0,0,6.0
6,0,0.0,33,1,0.0,0,0,0,0,3.0
8,0,3.0,20,3,0.0,0,0,0,0,9.0
8,0,12.0,25,0,0.0,0,0,0,0,15.0
8,0,27.0,4,0,0.0,0,0,0,0,39.0
9,0,24.0,34,0,0.0,0,0,0,0,30.0
9,0,6.0,20,1,0.0,0,0,0,0,9.0
9,0,15.0,30,0,0.0,0,0,0,0,9.0
10,0,0.0,2,6,0.0,0,0,0,0,3.0
13,0,9.0,25,2,0.0,0,0,0,0,15.0
13,0,42.0,9,0,0.0,0,0,0,0,54.0
13,0,3.0,19,7,0.0,0,0,0,0,6.0
13,0,24.0,1,0,0.0,0,0,0,0,18.0
14,0,0.0,2,4,0.0,0,0,0,0,3.0
14,1,0.0,32,0,45.0,0,0,0,0,6.0
15,0,0.0,13,0,6.0,0,0,0,0,90.0
16,0,0.0,26,1,0.0,0,0,0,0,12.0
17,1,0.0,32,0,30.0,0,0,0,0,15.0
17,0,9.0,19,8,0.0,0,0,0,0,6.0
18,5,0.0,19,5,3.0,0,0,0,0,3.0
18,1,0.0,29,0,3.0,0,0,0,0,3.0
18,4,0.0,23,0,0.0,0,0,0,0,3.0
18,0,0.0,17,1,6.0,0,0,0,0,3.0
18,2,0.0,30,2,3.0,0,0,0,0,3.0
19,5,0.0,8,0,15.0,0,0,0,0,6.0
19,2,0.0,31,0,54.0,0,0,0,0,6.0
19,6,0.0,32,0,9.0,0,0,0,0,6.0
20,0,0.0,3,0,18.0,0,0,0,0,9.0
20,2,0.0,26,0,0.0,0,0,0,0,9.0
21,0,0.0,14,0,0.0,0,0,0,0,6.0
21,0,6.0,2,2,0.0,0,0,0,0,3.0
22,0,0.0,24,0,9.0,0,0,0,0,9.0
23,0,6.0,2,5,0.0,0,0,0,0,3.0
23,0,0.0,10,0,0.0,0,0,0,0,6.0
24,0,0.0,32,0,51.0,0,0,0,0,18.0
25,1,9.0,19,1,0.0,0,0,0,0,6.0
25,2,9.0,19,3,0.0,0,0,0,0,6.0
25,0,6.0,20,4,0.0,0,0,0,0,9.0
26,1,0.0,3,0,0.0,0,0,0,0,18.0
26,0,0.0,31,0,36.0,0,0,0,0,18.0
27,0,9.0,17,0,0.0,0,0,0,0,15.0
28,0,15.0,25,1,0.0,0,0,0,0,15.0
28,0,9.0,19,4,0.0,0,0,0,0,6.0
29,0,0.0,17,1,9.0,0,0,0,0,6.0
30,2,0.0,32,0,0.0,0,0,0,0,9.0
31,0,45.0,21,0,0.0,0,0,0,0,12.0
31,0,0.0,8,0,21.0,0,0,0,0,45.0
31,0,57.0,6,0,0.0,0,0,0,0,6.0
31,0,63.0,18,3,0.0,0,0,0,0,3.0
32,0,24.0,35,0,0.0,0,0,0,0,45.0
32,0,15.0,30,1,0.0,0,0,0,0,9.0
32,0,9.0,19,10,0.0,0,0,0,0,6.0
33,0,0.0,30,2,0.0,0,0,0,0,3.0
35,0,15.0,28,0,0.0,0,0,0,0,30.0
35,0,9.0,19,9,0.0,0,0,0,0,6.0
