group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,12,0.0,55,0,10.0,1,1,1,1,10.0
0,0,0.0,88,20,20.0,1,1,1,1,10.0
0,17,0.0,110,0,360.0,1,1,1,1,10.0
0,43,0.0,96,4,10.0,1,1,1,1,10.0
0,40,0.0,111,36,30.0,1,1,1,1,10.0
0,4,0.0,106,0,330.0,1,1,1,1,10.0
0,16,0.0,163,0,710.0,1,1,1,1,10.0
0,32,0.0,96,3,10.0,1,1,1,1,10.0
0,28,0.0,147,0,300.0,1,1,1,1,10.0
0,13,0.0,146,0,300.0,1,1,1,1,10.0
0,36,0.0,97,1,10.0,1,1,1,1,10.0
0,5,0.0,144,0,20.0,1,1,1,1,10.0
0,14,0.0,129,1,30.0,1,1,1,1,10.0
0,42,0.0,88,17,20.0,1,1,1,1,10.0
0,8,0.0,97,0,10.0,1,1,1,1,10.0
0,6,0.0,117,0,20.0,1,1,1,1,10.0
1,0,0.0,108,0,0.0,1,1,1,1,10.0
2,0,0.0,24,1,0.0,1,1,1,1,10.0
3,36,0.0,59,0,0.0,1,1,1,1,10.0
3,72,0.0,100,0,10.0,1,1,1,1,10.0
3,3,0.0,58,21,0.0,1,1,1,1,10.0
3,35,0.0,53,0,0.0,1,1,1,1,10.0
3,6,0.0,58,20,0.0,1,1,1,1,10.0
3,69,0.0,64,10,0.0,1,1,1,1,10.0
3,8,0.0,58,17,0.0,1,1,1,1,10.0
3,9,0.0,58,14,0.0,1,1,1,1,10.0
3,71,0.0,129,1,40.0,1,1,1,1,10.0
3,23,0.0,159,0,690.0,1,1,1,1,10.0
3,28,0.0,152,1,50.0,1,1,1,1,10.0
3,10,0.0,58,4,0.0,1,1,1,1,10.0
3,42,0.0,61,0,0.0,1,1,1,1,10.0
3,39,0.0,53,1,0.0,1,1,1,1,10.0
3,67,0.0,108,0,330.0,1,1,1,1,10.0
3,30,0.0,112,0,20.0,1,1,1,1,10.0
3,57,0.0,51,0,170.0,1,1,1,1,10.0
3,32,0.0,120,0,20.0,1,1,1,1,10.0
3,5,0.0,61,11,0.0,1,1,1,1,10.0
3,40,0.0,114,1,20.0,1,1,1,1,10.0
3,27,0.0,61,1,0.0,1,1,1,1,10.0
3,58,0.0,109,0,340.0,1,1,1,1,10.0
3,29,0.0,64,11,0.0,1,1,1,1,10.0
3,64,0.0,100,5,10.0,1,1,1,1,10.0
3,59,0.0,131,0,30.0,1,1,1,1,10.0
3,22,0.0,63,0,0.0,1,1,1,1,10.0
3,34,0.0,58,11,0.0,1,1,1,1,10.0
3,62,0.0,11,0,80.0,1,1,1,1,10.0
3,60,0.0,106,0,340.0,1,1,1,1,10.0
3,61,0.0,144,0,30.0,1,1,1,1,10.0
3,56,0.0,58,19,10.0,1,1,1,1,10.0
3,70,0.0,146,0,310.0,1,1,1,1,10.0
3,66,0.0,99,0,10.0,1,1,1,1,10.0
3,54,0.0,88,25,20.0,1,1,1,1,10.0
3,4,0.0,62,0,0.0,1,1,1,1,10.0
3,63,0.0,141,0,40.0,1,1,1,1,10.0
3,7,0.0,54,0,0.0,1,1,1,1,10.0
3,68,0.0,90,0,10.0,1,1,1,1,10.0
3,0,0.0,58,10,0.0,1,1,1,1,10.0
3,25,0.0,64,7,0.0,1,1,1,1,10.0
3,21,0.0,58,1,0.0,1,1,1,1,10.0
3,38,0.0,150,0,50.0,1,1,1,1,10.0
3,24,0.0,58,0,0.0,1,1,1,1,10.0
3,31,0.0,121,0,20.0,1,1,1,1,10.0
3,41,0.0,121,1,20.0,1,1,1,1,10.0
3,11,0.0,61,14,0.0,1,1,1,1,10.0
3,65,0.0,167,0,60.0,1,1,1,1,10.0
3,73,0.0,58,23,0.0,1,1,1,1,10.0
4,35,0.0,63,1,0.0,1,1,1,1,10.0
4,52,0.0,64,1,0.0,1,1,1,1,10.0
4,69,0.0,119,0,20.0,1,1,1,1,10.0
4,43,0.0,176,0,70.0,1,1,1,1,10.0
4,54,0.0,61,3,0.0,1,1,1,1,10.0
4,38,0.0,61,4,0.0,1,1,1,1,10.0
4,3,0.0,61,2,0.0,1,1,1,1,10.0
4,49,0.0,61,8,0.0,1,1,1,1,10.0
4,76,0.0,42,0,150.0,1,1,1,1,10.0
4,31,0.0,61,16,0.0,1,1,1,1,10.0
4,56,0.0,61,5,0.0,1,1,1,1,10.0
4,46,0.0,61,7,0.0,1,1,1,1,10.0
4,58,0.0,142,0,40.0,1,1,1,1,10.0
4,59,0.0,61,12,0.0,1,1,1,1,10.0
4,22,0.0,61,15,0.0,1,1,1,1,10.0
4,33,0.0,63,2,0.0,1,1,1,1,10.0
4,55,0.0,116,0,20.0,1,1,1,1,10.0
4,7,0.0,61,6,0.0,1,1,1,1,10.0
4,71,0.0,114,0,20.0,1,1,1,1,10.0
4,5,0.0,61,17,0.0,1,1,1,1,10.0
4,34,0.0,96,3,20.0,1,1,1,1,10.0
4,48,0.0,61,9,0.0,1,1,1,1,10.0
4,45,0.0,134,0,30.0,1,1,1,1,10.0
4,44,0.0,145,0,40.0,1,1,1,1,10.0
4,9,0.0,64,9,0.0,1,1,1,1,10.0
4,60,0.0,140,0,40.0,1,1,1,1,10.0
4,51,0.0,147,0,310.0,1,1,1,1,10.0
4,39,0.0,64,2,0.0,1,1,1,1,10.0
4,11,0.0,130,0,30.0,1,1,1,1,10.0
4,1,0.0,98,0,10.0,1,1,1,1,10.0
4,57,0.0,113,0,20.0,1,1,1,1,10.0
4,42,0.0,117,0,30.0,1,1,1,1,10.0
4,36,0.0,64,5,0.0,1,1,1,1,10.0
4,40,0.0,58,3,0.0,1,1,1,1,10.0
4,67,0.0,114,2,20.0,1,1,1,1,10.0
4,64,0.0,155,0,50.0,1,1,1,1,10.0
4,74,0.0,62,6,0.0,1,1,1,1,10.0
7,10,0.0,159,0,680.0,1,1,1,1,10.0
7,3,0.0,97,1,20.0,1,1,1,1,10.0
7,5,0.0,163,0,700.0,1,1,1,1,10.0
7,9,0.0,97,0,20.0,1,1,1,1,10.0
7,6,0.0,96,4,20.0,1,1,1,1,10.0
7,2,0.0,110,0,350.0,1,1,1,1,10.0
8,6,0.0,167,0,50.0,1,1,1,1,10.0
8,10,0.0,99,0,0.0,1,1,1,1,10.0
8,9,0.0,51,0,160.0,1,1,1,1,10.0
8,11,0.0,90,0,0.0,1,1,1,1,10.0
8,2,0.0,100,5,0.0,1,1,1,1,10.0
8,3,0.0,108,0,320.0,1,1,1,1,10.0
8,14,0.0,131,0,20.0,1,1,1,1,10.0
8,0,0.0,141,0,30.0,1,1,1,1,10.0
8,1,0.0,11,0,70.0,1,1,1,1,10.0
8,7,0.0,109,0,330.0,1,1,1,1,10.0
8,5,0.0,100,0,0.0,1,1,1,1,10.0
9,3,0.0,98,0,0.0,1,1,1,1,10.0
10,0,0.0,69,0,90.0,1,1,1,1,100.0
13,0,0.0,81,0,170.0,1,1,1,1,100.0
14,0,0.0,44,0,470.0,1,1,1,1,1050.0
15,0,930.0,37,0,0.0,1,1,1,1,160.0
15,0,390.0,137,0,0.0,1,1,1,1,540.0
15,0,370.0,52,1,0.0,1,1,1,1,20.0
16,0,0.0,50,0,80.0,1,1,1,1,110.0
17,0,60.0,133,0,0.0,1,1,1,1,50.0
17,0,10.0,58,18,0.0,1,1,1,1,20.0
17,0,30.0,100,4,0.0,1,1,1,1,30.0
18,0,0.0,149,1,0.0,1,1,1,1,70.0
18,1,0.0,149,2,0.0,1,1,1,1,70.0
20,0,0.0,161,0,1160.0,1,1,1,1,1160.0
21,0,360.0,88,18,0.0,1,1,1,1,30.0
21,0,930.0,71,0,0.0,1,1,1,1,230.0
21,0,730.0,68,0,0.0,1,1,1,1,200.0
21,0,390.0,105,0,0.0,1,1,1,1,340.0
22,0,0.0,138,0,80.0,1,1,1,1,120.0
23,0,0.0,165,0,120.0,1,1,1,1,120.0
24,1,0.0,166,6,0.0,1,1,1,1,80.0
24,0,0.0,166,0,0.0,1,1,1,1,80.0
25,0,360.0,52,3,0.0,1,1,1,1,20.0
25,0,1160.0,17,0,0.0,1,1,1,1,110.0
25,0,390.0,139,0,0.0,1,1,1,1,580.0
25,0,380.0,4,50,0.0,1,1,1,1,10.0
25,0,970.0,46,0,0.0,1,1,1,1,190.0
26,0,0.0,77,0,120.0,1,1,1,1,130.0
27,0,0.0,128,0,1160.0,1,1,1,1,1390.0
28,3,0.0,124,0,150.0,1,1,1,1,140.0
28,0,0.0,44,0,1520.0,1,1,1,1,140.0
28,1,0.0,162,0,430.0,1,1,1,1,140.0
28,4,0.0,87,0,0.0,1,1,1,1,140.0
28,2,0.0,82,0,0.0,1,1,1,1,140.0
29,0,0.0,162,0,290.0,1,1,1,1,140.0
30,0,0.0,143,1,0.0,1,1,1,1,60.0
30,0,60.0,111,2,0.0,1,1,1,1,40.0
30,1,0.0,78,0,120.0,1,1,1,1,140.0
31,0,10.0,143,0,0.0,1,1,1,1,60.0
31,0,70.0,88,16,0.0,1,1,1,1,30.0
32,0,0.0,161,0,6760.0,1,1,1,1,150.0
32,1,0.0,103,0,3010.0,1,1,1,1,150.0
33,0,0.0,124,0,0.0,1,1,1,1,150.0
34,1,0.0,151,1,0.0,1,1,1,1,70.0
34,1,70.0,111,12,0.0,1,1,1,1,40.0
34,0,70.0,111,11,0.0,1,1,1,1,40.0
34,0,0.0,151,0,0.0,1,1,1,1,70.0
35,0,0.0,84,0,0.0,1,1,1,1,150.0
36,0,80.0,111,23,0.0,1,1,1,1,40.0
36,1,0.0,168,3,0.0,1,1,1,1,80.0
