n_group,n_partitions,num_div_y,num_div_x,device_group
0,48,10.0,10.0,4
1,1,130.0,10.0,4
2,1,140.0,10.0,4
3,74,20.0,10.0,4
4,2,250.0,10.0,4
5,64,30.0,10.0,4
6,9,40.0,10.0,4
7,26,50.0,10.0,4
8,9,60.0,10.0,4
9,4,20.0,100.0,4
10,1,230.0,100.0,4
11,2,20.0,110.0,4
12,1,210.0,110.0,4
13,2,30.0,110.0,4
14,1,70.0,1120.0,4
15,1,580.0,1150.0,4
16,3,20.0,120.0,4
17,1,30.0,120.0,4
18,1,320.0,120.0,4
19,1,40.0,120.0,4
20,1,220.0,130.0,4
21,1,320.0,130.0,4
22,2,40.0,130.0,4
23,3,30.0,150.0,4
24,1,40.0,150.0,4
25,1,30.0,160.0,4
26,1,520.0,160.0,4
27,1,20.0,170.0,4
28,1,50.0,170.0,4
29,1,8700.0,1750.0,4
30,2,30.0,180.0,4
31,1,30.0,190.0,4
32,1,40.0,190.0,4
33,1,410.0,190.0,4
34,2,70.0,190.0,4
35,1,80.0,190.0,4
36,12,10.0,20.0,4
37,1,130.0,20.0,4
38,3,20.0,20.0,4
39,17,30.0,20.0,4
40,1,310.0,20.0,4
41,1,320.0,20.0,4
42,3,40.0,20.0,4
43,20,50.0,20.0,4
44,5,60.0,20.0,4
45,5,70.0,20.0,4
46,9,80.0,20.0,4
47,1,30.0,210.0,4
48,2,70.0,210.0,4
49,1,7360.0,2130.0,4
50,1,470.0,220.0,4
51,1,230.0,240.0,4
52,1,740.0,2600.0,4
53,1,40.0,270.0,4
54,1,930.0,280.0,4
55,2,150.0,290.0,4
56,1,220.0,290.0,4
57,1,300.0,290.0,4
58,20,10.0,30.0,4
59,2,100.0,30.0,4
60,1,110.0,30.0,4
61,1,120.0,30.0,4
62,1,130.0,30.0,4
63,2,140.0,30.0,4
64,3,20.0,30.0,4
65,6,30.0,30.0,4
66,1,310.0,30.0,4
67,3,60.0,30.0,4
68,1,70.0,30.0,4
69,6,80.0,30.0,4
70,2,90.0,30.0,4
71,1,30.0,300.0,4
72,1,20.0,310.0,4
73,1,50.0,310.0,4
74,1,80.0,320.0,4
75,1,90.0,330.0,4
76,3,70.0,340.0,4
77,1,250.0,350.0,4
78,1,70.0,350.0,4
79,1,580.0,3600.0,4
80,1,220.0,390.0,4
81,45,10.0,40.0,4
82,4,100.0,40.0,4
83,2,110.0,40.0,4
84,2,120.0,40.0,4
85,1,130.0,40.0,4
86,1,140.0,40.0,4
87,1,150.0,40.0,4
88,1,160.0,40.0,4
89,1,170.0,40.0,4
90,15,20.0,40.0,4
91,1,230.0,40.0,4
92,1,30.0,40.0,4
93,1,60.0,40.0,4
94,1,80.0,40.0,4
95,1,320.0,430.0,4
96,1,260.0,490.0,4
97,1,890.0,490.0,4
98,3,10.0,50.0,4
99,2,100.0,50.0,4
100,1,130.0,50.0,4
101,1,160.0,50.0,4
102,4,20.0,50.0,4
103,1,280.0,50.0,4
104,1,390.0,50.0,4
105,1,80.0,50.0,4
106,1,90.0,50.0,4
107,1,280.0,500.0,4
108,1,170.0,520.0,4
109,1,160.0,560.0,4
110,1,140.0,580.0,4
111,1,160.0,590.0,4
112,3,10.0,60.0,4
113,1,210.0,60.0,4
114,1,250.0,60.0,4
115,1,270.0,60.0,4
116,1,80.0,60.0,4
117,1,220.0,600.0,4
118,1,220.0,640.0,4
119,1,120.0,660.0,4
120,2,140.0,660.0,4
121,3,10.0,70.0,4
122,2,150.0,70.0,4
123,1,170.0,70.0,4
124,7,20.0,70.0,4
125,1,30.0,70.0,4
126,1,300.0,70.0,4
127,1,730.0,750.0,4
128,5,10.0,80.0,4
129,4,20.0,80.0,4
130,2,210.0,80.0,4
131,1,220.0,80.0,4
132,1,230.0,80.0,4
133,1,30.0,80.0,4
134,1,350.0,850.0,4
135,1,330.0,880.0,4
136,1,580.0,890.0,4
137,1,10.0,90.0,4
138,1,20.0,90.0,4
139,1,320.0,920.0,4
140,1,410.0,930.0,4
141,1,450.0,930.0,4
142,1,280.0,970.0,4
