group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,0,0.0,33,0,0.0,0,-1,6,7,2610.0
0,0,0.0,0,2,0.0,0,-1,0,5,129.0
0,0,0.0,0,2,0.0,0,-1,5,6,2610.0
0,0,42.0,124,0,0.0,0,-1,7,4,750.0
1,0,564.0,11,1,0.0,0,-1,2,0,498.0
1,0,0.0,12,0,0.0,0,-1,2,0,564.0
3,0,0.0,11,1,498.0,0,-1,1,0,63.0
3,0,63.0,11,0,0.0,0,-1,1,0,561.0
4,0,0.0,0,2,2376.0,0,-1,4,5,132.0
11,1,0.0,0,2,693.0,0,-1,0,5,561.0
11,0,0.0,0,2,1254.0,0,-1,0,5,561.0
12,0,0.0,0,2,129.0,0,-1,0,5,564.0
16,0,0.0,23,0,0.0,0,-1,3,2,1044.0
21,9,0.0,183,0,0.0,0,-1,1,4,6.0
23,0,9.0,28,0,0.0,0,-1,2,4,18.0
23,0,3.0,126,0,0.0,0,-1,2,4,6.0
23,0,915.0,0,0,0.0,0,-1,2,0,129.0
23,0,246.0,52,0,0.0,0,-1,2,4,669.0
23,0,27.0,119,0,0.0,0,-1,2,4,219.0
31,0,27.0,88,0,0.0,0,-1,3,2,33.0
31,0,12.0,34,0,0.0,0,-1,3,2,15.0
31,0,6.0,133,0,0.0,0,-1,3,2,6.0
31,0,3.0,97,2,0.0,0,-1,3,2,3.0
58,0,0.0,0,2,1815.0,0,-1,1,5,561.0
89,14,0.0,103,60,0.0,0,-1,1,4,3.0
89,11,0.0,8,0,0.0,0,-1,1,0,3.0
99,0,120.0,3,0,0.0,0,-1,2,1,45.0
120,1,0.0,4,0,0.0,0,-1,1,4,84.0
123,0,0.0,0,2,2508.0,0,-1,4,5,96.0
145,5,0.0,0,2,2604.0,0,-1,4,5,3.0
196,0,12.0,52,0,0.0,0,-1,4,7,12.0
196,0,135.0,30,0,0.0,0,-1,4,7,27.0
196,0,3.0,25,0,0.0,0,-1,4,7,9.0
196,0,162.0,46,0,0.0,0,-1,4,7,75.0
196,0,69.0,32,0,0.0,0,-1,4,7,48.0
196,0,237.0,8,0,0.0,0,-1,4,7,138.0
196,0,24.0,15,0,0.0,0,-1,4,7,45.0
196,0,117.0,17,0,0.0,0,-1,4,7,18.0
