group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,1,438.0,167,0,0.0,1,-1,5,4,87.0
0,1,234.0,174,0,0.0,1,-1,5,4,81.0
0,2,327.0,178,1,0.0,1,-1,5,4,87.0
0,1,315.0,26,0,0.0,1,-1,5,4,123.0
0,2,30.0,61,1,0.0,1,-1,5,4,18.0
0,2,12.0,144,7,0.0,1,-1,5,4,6.0
0,2,48.0,93,0,0.0,1,-1,5,4,279.0
0,1,0.0,112,0,111.0,1,-1,5,4,234.0
0,2,414.0,112,0,0.0,1,-1,5,4,111.0
0,2,18.0,16,3,0.0,1,-1,5,4,12.0
0,2,0.0,167,0,612.0,1,-1,6,4,51.0
0,0,0.0,167,0,87.0,1,-1,5,4,525.0
0,2,3.0,99,18,0.0,1,-1,5,4,3.0
0,2,6.0,151,11,0.0,1,-1,5,4,6.0
1,0,0.0,3,0,0.0,1,-1,2,1,1035.0
1,0,0.0,124,0,177.0,1,-1,7,4,111.0
8,0,1047.0,0,0,0.0,1,-1,7,6,285.0
8,0,522.0,0,1,0.0,1,-1,7,6,525.0
8,0,0.0,0,2,3.0,1,-1,7,6,522.0
11,0,0.0,58,0,0.0,1,-1,0,1,2166.0
14,0,0.0,124,0,0.0,1,-1,7,4,177.0
16,1,171.0,132,0,0.0,1,-1,3,2,87.0
16,1,9.0,71,7,0.0,1,-1,3,2,3.0
16,1,12.0,32,0,0.0,1,-1,3,2,159.0
16,1,258.0,85,0,0.0,1,-1,3,2,366.0
16,1,624.0,86,0,0.0,1,-1,3,2,366.0
16,0,681.0,1,0,0.0,1,-1,3,2,687.0
16,0,0.0,2,0,378.0,1,-1,3,2,681.0
16,1,990.0,2,0,0.0,1,-1,3,2,378.0
21,9,9.0,103,60,0.0,1,-1,1,4,3.0
23,0,348.0,12,0,0.0,1,-1,2,0,1023.0
26,7,0.0,124,0,345.0,1,-1,7,4,30.0
31,0,1377.0,23,0,0.0,1,-1,3,2,513.0
40,1,0.0,124,0,288.0,1,-1,7,4,57.0
45,0,0.0,0,0,285.0,1,-1,7,6,240.0
52,0,0.0,0,0,0.0,1,-1,4,0,1143.0
52,0,1668.0,0,1,0.0,1,-1,4,5,117.0
52,0,1143.0,0,2,0.0,1,-1,4,5,525.0
58,0,1086.0,4,0,0.0,1,-1,1,4,1080.0
66,0,114.0,8,0,0.0,1,-1,1,0,141.0
89,27,0.0,8,0,156.0,1,-1,1,0,3.0
99,0,0.0,143,0,753.0,1,-1,2,1,48.0
107,0,0.0,143,0,747.0,1,-1,2,1,6.0
120,1,48.0,183,0,0.0,1,-1,1,4,9.0
121,1,0.0,8,0,150.0,1,-1,1,0,6.0
155,1,0.0,8,0,141.0,1,-1,1,0,9.0
196,0,0.0,0,1,117.0,1,-1,4,5,408.0
196,0,408.0,0,0,0.0,1,-1,4,5,525.0
196,0,933.0,0,2,0.0,1,-1,4,6,3.0
