area,x1,x2,y1,y2,x,y,color,label,dim_x,dim_y,dim_x_y_code,device_group,gi,gj
900.0,300.0,330.0,330.0,360.0,315.0,345.0,#a8ff04,0_0,30.0,30.0,30.0_30.0,3,1,0
5400.0,120.0,300.0,150.0,180.0,210.0,165.0,#56ae57,1_5,180.0,30.0,180.0_30.0,1,0,0
5400.0,300.0,480.0,150.0,180.0,390.0,165.0,#b2996e,1_8,180.0,30.0,180.0_30.0,2,0,0
5400.0,120.0,300.0,180.0,210.0,210.0,195.0,#56ae57,1_6,180.0,30.0,180.0_30.0,1,0,1
5400.0,300.0,480.0,180.0,210.0,390.0,195.0,#b2996e,1_9,180.0,30.0,180.0_30.0,2,0,1
5400.0,120.0,300.0,210.0,240.0,210.0,225.0,#b2996e,1_7,180.0,30.0,180.0_30.0,2,0,2
5400.0,300.0,480.0,210.0,240.0,390.0,225.0,#b2996e,1_10,180.0,30.0,180.0_30.0,2,0,3
5400.0,300.0,480.0,240.0,270.0,390.0,255.0,#69d84f,1_11,180.0,30.0,180.0_30.0,4,1,0
5400.0,120.0,300.0,30.0,60.0,210.0,45.0,#acc2d9,1_1,180.0,30.0,180.0_30.0,0,0,0
5400.0,120.0,300.0,0.0,30.0,210.0,15.0,#acc2d9,1_0,180.0,30.0,180.0_30.0,0,0,1
5400.0,120.0,300.0,60.0,90.0,210.0,75.0,#acc2d9,1_2,180.0,30.0,180.0_30.0,0,0,2
5400.0,120.0,300.0,90.0,120.0,210.0,105.0,#56ae57,1_3,180.0,30.0,180.0_30.0,1,0,2
5400.0,120.0,300.0,120.0,150.0,210.0,135.0,#56ae57,1_4,180.0,30.0,180.0_30.0,1,0,3
7200.0,0.0,120.0,300.0,360.0,60.0,330.0,#69d84f,2_0,120.0,60.0,120.0_60.0,4,0,0
10800.0,300.0,480.0,270.0,330.0,390.0,300.0,#69d84f,3_0,180.0,60.0,180.0_60.0,4,2,0
21600.0,120.0,300.0,240.0,360.0,210.0,300.0,#a8ff04,4_0,180.0,120.0,180.0_120.0,3,0,0
