x1,x2,y1,y2,gi,gj
6237.0,7638.0,441.0,3051.0,469.0,0.0
7638.0,9039.0,441.0,3051.0,469.0,1.0
9039.0,10446.0,441.0,3051.0,470.0,0.0
1302.0,3090.0,2757.0,3981.0,465.0,0.0
3090.0,4881.0,2757.0,3981.0,466.0,0.0
3333.0,4782.0,759.0,2757.0,467.0,0.0
4782.0,6237.0,759.0,2757.0,468.0,0.0
4881.0,6225.0,2757.0,3753.0,464.0,0.0
10665.0,11064.0,441.0,2985.0,463.0,0.0
2226.0,3333.0,942.0,1815.0,462.0,0.0
186.0,1302.0,3252.0,3933.0,461.0,0.0
6225.0,7701.0,3051.0,3522.0,460.0,0.0
2328.0,3333.0,2313.0,2757.0,459.0,0.0
10446.0,10566.0,441.0,3036.0,458.0,0.0
7701.0,9060.0,3051.0,3198.0,456.0,0.0
7083.0,7863.0,219.0,441.0,455.0,0.0
3036.0,3333.0,1815.0,2313.0,454.0,0.0
4431.0,6237.0,624.0,759.0,457.0,0.0
882.0,1302.0,2925.0,3252.0,453.0,0.0
2574.0,2943.0,1962.0,2313.0,452.0,0.0
1611.0,2328.0,2592.0,2757.0,450.0,0.0
6225.0,6831.0,3522.0,3723.0,451.0,0.0
4881.0,5481.0,3753.0,3939.0,449.0,0.0
2100.0,2190.0,585.0,1815.0,448.0,0.0
2346.0,4236.0,3981.0,4026.0,447.0,0.0
5931.0,6198.0,369.0,624.0,444.0,0.0
10566.0,10665.0,2235.0,3027.0,446.0,0.0
504.0,882.0,3087.0,3252.0,443.0,0.0
48.0,186.0,3381.0,3927.0,445.0,0.0
3003.0,3276.0,726.0,942.0,440.0,0.0
5565.0,5844.0,408.0,624.0,442.0,0.0
6651.0,6996.0,267.0,441.0,441.0,0.0
2625.0,2916.0,759.0,942.0,438.0,0.0
1977.0,2328.0,2439.0,2592.0,439.0,0.0
9060.0,9654.0,3051.0,3135.0,437.0,0.0
7302.0,7527.0,0.0,219.0,436.0,0.0
5187.0,5478.0,459.0,624.0,434.0,0.0
7701.0,8412.0,3198.0,3267.0,435.0,0.0
0.0,48.0,3009.0,3924.0,432.0,0.0
6870.0,7017.0,0.0,267.0,431.0,0.0
4833.0,5100.0,495.0,624.0,429.0,0.0
3729.0,4014.0,630.0,759.0,430.0,0.0
4101.0,4371.0,588.0,759.0,433.0,0.0
6285.0,6564.0,318.0,441.0,428.0,0.0
2841.0,2943.0,492.0,759.0,426.0,0.0
5406.0,5496.0,174.0,459.0,423.0,0.0
2196.0,2256.0,2022.0,2439.0,420.0,0.0
2268.0,2535.0,843.0,942.0,425.0,0.0
4677.0,4767.0,267.0,543.0,418.0,0.0
2190.0,2226.0,948.0,1815.0,427.0,0.0
6018.0,6270.0,129.0,231.0,424.0,0.0
3480.0,3642.0,603.0,759.0,422.0,0.0
6396.0,6633.0,81.0,186.0,419.0,0.0
5679.0,5919.0,174.0,276.0,417.0,0.0
1833.0,1890.0,2187.0,2592.0,412.0,0.0
3948.0,4047.0,363.0,606.0,416.0,0.0
3444.0,3720.0,447.0,531.0,413.0,0.0
3084.0,3345.0,492.0,588.0,421.0,0.0
579.0,825.0,2856.0,2946.0,408.0,0.0
1476.0,1566.0,2352.0,2583.0,406.0,0.0
2904.0,3894.0,4026.0,4050.0,415.0,0.0
4458.0,4746.0,546.0,624.0,411.0,0.0
4191.0,4449.0,363.0,450.0,410.0,0.0
4902.0,5181.0,267.0,351.0,414.0,0.0
2373.0,2604.0,585.0,681.0,409.0,0.0
366.0,465.0,2856.0,3063.0,405.0,0.0
975.0,1185.0,2685.0,2787.0,407.0,0.0
2412.0,2574.0,2022.0,2127.0,401.0,0.0
753.0,861.0,2685.0,2856.0,404.0,0.0
5481.0,5577.0,3753.0,3930.0,400.0,0.0
7701.0,7815.0,3267.0,3426.0,403.0,0.0
1113.0,1224.0,2526.0,2685.0,402.0,0.0
9654.0,10107.0,3051.0,3087.0,398.0,0.0
2049.0,2196.0,2187.0,2298.0,399.0,0.0
1680.0,1833.0,2352.0,2448.0,396.0,0.0
6831.0,7362.0,3522.0,3552.0,397.0,0.0
813.0,1302.0,3933.0,3960.0,392.0,0.0
222.0,366.0,3009.0,3111.0,395.0,0.0
2460.0,2574.0,2205.0,2313.0,388.0,0.0
1314.0,1476.0,2526.0,2613.0,394.0,0.0
48.0,111.0,3009.0,3213.0,390.0,0.0
5280.0,5406.0,222.0,324.0,391.0,0.0
4536.0,4677.0,315.0,405.0,389.0,0.0
2394.0,2544.0,750.0,843.0,393.0,0.0
2256.0,2325.0,2022.0,2193.0,383.0,0.0
