n_group,n_partitions,num_div_y,num_div_x
0,227,3.0,3.0
1,331,6.0,3.0
2,57,3.0,6.0
3,253,9.0,3.0
4,71,3.0,9.0
5,42,12.0,3.0
6,20,6.0,6.0
7,172,3.0,12.0
8,97,15.0,3.0
9,6,3.0,15.0
10,22,18.0,3.0
11,69,9.0,6.0
12,12,6.0,9.0
13,6,3.0,18.0
14,10,3.0,21.0
15,1,24.0,3.0
16,11,12.0,6.0
17,59,6.0,12.0
18,23,3.0,24.0
19,1,27.0,3.0
20,29,9.0,9.0
21,46,3.0,27.0
22,85,15.0,6.0
23,15,6.0,15.0
24,5,3.0,30.0
25,7,3.0,33.0
26,31,18.0,6.0
27,9,12.0,9.0
28,3,9.0,12.0
29,9,6.0,18.0
30,2,39.0,3.0
31,2,42.0,3.0
32,6,21.0,6.0
33,21,6.0,21.0
34,15,3.0,42.0
35,22,15.0,9.0
36,7,3.0,45.0
37,1,48.0,3.0
38,35,24.0,6.0
39,5,12.0,12.0
40,15,6.0,24.0
41,3,3.0,51.0
42,3,54.0,3.0
43,9,27.0,6.0
44,16,18.0,9.0
45,3,6.0,27.0
46,2,3.0,54.0
47,11,3.0,57.0
48,1,30.0,6.0
49,1,15.0,12.0
50,15,6.0,30.0
51,7,3.0,60.0
52,5,21.0,9.0
53,1,33.0,6.0
54,5,6.0,33.0
55,3,3.0,66.0
56,19,3.0,69.0
57,20,24.0,9.0
58,2,18.0,12.0
59,1,9.0,24.0
60,4,6.0,36.0
61,5,3.0,72.0
62,1,15.0,15.0
63,1,3.0,75.0
64,1,39.0,6.0
65,1,3.0,78.0
66,2,27.0,9.0
67,1,21.0,12.0
68,2,3.0,84.0
69,1,3.0,87.0
70,7,30.0,9.0
71,6,9.0,30.0
72,1,3.0,93.0
73,1,48.0,6.0
74,4,24.0,12.0
75,1,3.0,96.0
76,6,33.0,9.0
77,5,9.0,33.0
78,2,102.0,3.0
79,1,108.0,3.0
80,2,36.0,9.0
81,6,27.0,12.0
