n_group,n_partitions,num_div_y,num_div_x
0,222,3.0,3.0
1,303,6.0,3.0
2,52,3.0,6.0
3,287,9.0,3.0
4,76,3.0,9.0
5,43,12.0,3.0
6,23,6.0,6.0
7,174,3.0,12.0
8,84,15.0,3.0
9,7,3.0,15.0
10,34,18.0,3.0
11,72,9.0,6.0
12,15,6.0,9.0
13,5,3.0,18.0
14,12,3.0,21.0
15,1,24.0,3.0
16,14,12.0,6.0
17,42,6.0,12.0
18,21,3.0,24.0
19,1,27.0,3.0
20,30,9.0,9.0
21,34,3.0,27.0
22,1,30.0,3.0
23,74,15.0,6.0
24,8,6.0,15.0
25,17,3.0,30.0
26,8,3.0,33.0
27,32,18.0,6.0
28,10,12.0,9.0
29,4,9.0,12.0
30,6,6.0,18.0
31,1,3.0,36.0
32,2,39.0,3.0
33,2,42.0,3.0
34,13,21.0,6.0
35,20,6.0,21.0
36,17,3.0,42.0
37,15,15.0,9.0
38,3,3.0,45.0
39,1,48.0,3.0
40,29,24.0,6.0
41,1,12.0,12.0
42,26,6.0,24.0
43,1,3.0,51.0
44,4,54.0,3.0
45,6,27.0,6.0
46,18,18.0,9.0
47,1,9.0,18.0
48,5,6.0,27.0
49,2,3.0,54.0
50,6,3.0,57.0
51,1,15.0,12.0
52,11,6.0,30.0
53,6,3.0,60.0
54,4,21.0,9.0
55,2,9.0,21.0
56,2,3.0,63.0
57,3,33.0,6.0
58,5,6.0,33.0
59,1,3.0,66.0
60,15,3.0,69.0
61,1,36.0,6.0
62,22,24.0,9.0
63,4,18.0,12.0
64,6,9.0,24.0
65,7,6.0,36.0
66,5,3.0,72.0
67,2,75.0,3.0
68,1,3.0,75.0
69,1,78.0,3.0
70,4,39.0,6.0
71,3,27.0,9.0
72,2,21.0,12.0
73,4,6.0,42.0
74,1,87.0,3.0
75,2,3.0,87.0
76,7,30.0,9.0
77,1,9.0,30.0
78,4,6.0,45.0
79,1,3.0,93.0
80,2,48.0,6.0
81,5,24.0,12.0
82,3,12.0,24.0
83,1,6.0,48.0
84,7,33.0,9.0
85,3,9.0,33.0
86,1,102.0,3.0
87,2,6.0,51.0
88,2,21.0,15.0
89,1,108.0,3.0
90,3,36.0,9.0
91,1,27.0,12.0
92,1,18.0,18.0
93,4,9.0,36.0
94,4,6.0,54.0
95,1,57.0,6.0
96,11,6.0,57.0
97,4,39.0,9.0
98,3,9.0,39.0
99,11,30.0,12.0
100,4,24.0,15.0
101,4,12.0,30.0
102,2,6.0,60.0
103,5,42.0,9.0
104,2,9.0,42.0
105,11,33.0,12.0
106,5,12.0,33.0
107,1,6.0,66.0
108,3,27.0,15.0
109,7,9.0,45.0
110,5,6.0,69.0
111,2,3.0,138.0
112,1,3.0,141.0
113,8,36.0,12.0
114,1,24.0,18.0
115,3,12.0,36.0
116,2,9.0,48.0
117,1,6.0,72.0
118,1,21.0,21.0
119,4,30.0,15.0
120,2,9.0,51.0
121,11,39.0,12.0
122,4,12.0,39.0
123,1,27.0,18.0
124,3,9.0,54.0
125,3,33.0,15.0
126,5,42.0,12.0
127,2,12.0,42.0
128,1,6.0,84.0
129,4,9.0,57.0
130,1,87.0,6.0
131,1,6.0,87.0
132,4,45.0,12.0
133,3,36.0,15.0
134,1,30.0,18.0
135,4,12.0,45.0
136,2,93.0,6.0
137,1,6.0,93.0
138,1,9.0,63.0
