n_group,n_partitions,num_div_y,num_div_x,device_group
0,46,10.0,10.0,1
1,1,130.0,10.0,1
2,1,180.0,10.0,1
3,74,20.0,10.0,1
4,78,30.0,10.0,1
5,1,340.0,10.0,1
6,1,360.0,10.0,1
7,12,40.0,10.0,1
8,17,50.0,10.0,1
9,5,60.0,10.0,1
10,1,20.0,100.0,1
11,1,310.0,100.0,1
12,1,320.0,100.0,1
13,1,40.0,100.0,1
14,1,20.0,1050.0,1
15,1,660.0,1090.0,1
16,1,20.0,110.0,1
17,1,270.0,110.0,1
18,2,40.0,110.0,1
19,1,400.0,110.0,1
20,1,50.0,1160.0,1
21,1,560.0,1160.0,1
22,1,20.0,120.0,1
23,1,30.0,120.0,1
24,2,40.0,120.0,1
25,1,550.0,1270.0,1
26,1,30.0,130.0,1
27,1,50.0,1390.0,1
28,5,10.0,140.0,1
29,1,20.0,140.0,1
30,2,30.0,140.0,1
31,1,40.0,140.0,1
32,2,10.0,150.0,1
33,1,20.0,150.0,1
34,2,30.0,150.0,1
35,1,320.0,150.0,1
36,2,40.0,150.0,1
37,1,130.0,160.0,1
38,1,20.0,160.0,1
39,1,360.0,160.0,1
40,1,10.0,170.0,1
41,1,30.0,170.0,1
42,1,360.0,170.0,1
43,1,30.0,180.0,1
44,1,40.0,1810.0,1
45,1,110.0,1860.0,1
46,1,110.0,190.0,1
47,1,1500.0,190.0,1
48,1,230.0,190.0,1
49,1,50.0,190.0,1
50,1,60.0,190.0,1
51,1,690.0,190.0,1
52,12,10.0,20.0,1
53,2,110.0,20.0,1
54,1,120.0,20.0,1
55,1,160.0,20.0,1
56,1,190.0,20.0,1
57,3,20.0,20.0,1
58,24,30.0,20.0,1
59,1,350.0,20.0,1
60,2,40.0,20.0,1
61,18,50.0,20.0,1
62,10,60.0,20.0,1
63,4,70.0,20.0,1
64,12,80.0,20.0,1
65,1,90.0,20.0,1
66,1,230.0,200.0,1
67,1,360.0,200.0,1
68,1,460.0,200.0,1
69,1,50.0,210.0,1
70,10,10.0,230.0,1
71,1,120.0,230.0,1
72,5,20.0,230.0,1
73,1,960.0,2370.0,1
74,4,10.0,240.0,1
75,1,20.0,240.0,1
76,1,240.0,250.0,1
77,1,40.0,250.0,1
78,1,40.0,260.0,1
79,1,100.0,270.0,1
80,2,230.0,270.0,1
81,1,40.0,270.0,1
82,1,20.0,280.0,1
83,1,70.0,280.0,1
84,1,780.0,280.0,1
85,1,130.0,290.0,1
86,1,220.0,290.0,1
87,1,30.0,290.0,1
88,27,10.0,30.0,1
89,3,100.0,30.0,1
90,1,110.0,30.0,1
91,1,120.0,30.0,1
92,2,130.0,30.0,1
93,1,140.0,30.0,1
94,3,20.0,30.0,1
95,1,280.0,30.0,1
96,7,30.0,30.0,1
97,2,40.0,30.0,1
98,2,50.0,30.0,1
99,4,60.0,30.0,1
100,6,80.0,30.0,1
101,1,80.0,300.0,1
102,1,10.0,310.0,1
103,1,100.0,3300.0,1
104,1,50.0,340.0,1
105,1,70.0,340.0,1
106,1,50.0,350.0,1
107,1,70.0,350.0,1
108,1,810.0,350.0,1
109,1,570.0,360.0,1
110,1,580.0,370.0,1
111,48,10.0,40.0,1
112,3,110.0,40.0,1
113,1,120.0,40.0,1
114,4,130.0,40.0,1
115,2,140.0,40.0,1
116,1,150.0,40.0,1
117,11,20.0,40.0,1
118,1,200.0,40.0,1
119,1,330.0,40.0,1
120,1,60.0,40.0,1
121,2,80.0,40.0,1
122,1,390.0,400.0,1
123,1,350.0,410.0,1
124,1,20.0,430.0,1
125,1,20.0,460.0,1
126,1,10.0,470.0,1
127,3,30.0,470.0,1
128,2,3460.0,4720.0,1
129,3,10.0,50.0,1
130,1,100.0,50.0,1
131,1,120.0,50.0,1
132,1,140.0,50.0,1
133,1,170.0,50.0,1
134,1,180.0,50.0,1
135,1,230.0,50.0,1
136,1,230.0,530.0,1
137,1,220.0,540.0,1
138,1,320.0,540.0,1
139,1,220.0,580.0,1
140,1,130.0,60.0,1
141,1,170.0,60.0,1
142,1,180.0,60.0,1
143,2,20.0,60.0,1
144,1,30.0,60.0,1
145,1,430.0,60.0,1
146,1,130.0,660.0,1
147,1,140.0,670.0,1
148,1,10.0,680.0,1
149,3,10.0,70.0,1
150,1,130.0,70.0,1
151,6,20.0,70.0,1
152,2,240.0,70.0,1
153,2,290.0,70.0,1
154,1,30.0,70.0,1
155,1,310.0,70.0,1
156,1,330.0,70.0,1
157,1,20.0,700.0,1
158,1,30.0,700.0,1
159,1,350.0,700.0,1
160,1,50.0,700.0,1
161,1,190.0,7050.0,1
162,1,50.0,710.0,1
163,1,310.0,720.0,1
164,1,150.0,740.0,1
165,1,310.0,770.0,1
166,9,10.0,80.0,1
167,1,160.0,80.0,1
168,8,20.0,80.0,1
169,1,220.0,80.0,1
170,1,30.0,80.0,1
171,1,370.0,80.0,1
172,1,120.0,810.0,1
173,1,110.0,830.0,1
174,1,180.0,90.0,1
175,1,20.0,90.0,1
176,1,210.0,90.0,1
177,1,220.0,90.0,1
