group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,0,0.0,4,32,0.0,0,3,3,3,10.0
0,7,0.0,7,2,30.0,0,3,3,3,10.0
0,28,0.0,4,24,0.0,0,3,3,3,10.0
0,14,0.0,46,2,10.0,0,3,3,3,10.0
0,26,0.0,2,30,0.0,0,3,3,3,10.0
0,29,0.0,4,27,20.0,0,3,3,3,10.0
0,27,0.0,46,3,10.0,0,3,3,3,10.0
0,21,0.0,2,33,0.0,0,3,3,3,10.0
0,16,0.0,46,5,10.0,0,3,3,3,10.0
0,4,0.0,25,1,10.0,0,3,3,3,10.0
0,6,0.0,5,1,0.0,0,3,3,3,10.0
0,2,0.0,70,0,0.0,0,3,3,3,10.0
0,5,0.0,4,29,0.0,0,3,3,3,10.0
0,1,0.0,5,2,20.0,0,3,3,3,10.0
0,9,0.0,63,0,10.0,0,3,3,3,10.0
0,18,0.0,72,1,10.0,0,3,3,3,10.0
0,20,0.0,47,2,20.0,0,3,3,3,10.0
0,31,0.0,46,1,10.0,0,3,3,3,10.0
0,25,0.0,2,37,10.0,0,3,3,3,10.0
0,30,0.0,46,0,10.0,0,3,3,3,10.0
0,24,0.0,2,29,0.0,0,3,3,3,10.0
0,23,0.0,4,33,0.0,0,3,3,3,10.0
0,22,0.0,72,0,50.0,0,3,3,3,10.0
0,19,0.0,77,0,60.0,0,3,3,3,10.0
1,0,0.0,53,0,660.0,0,3,3,3,160.0
2,33,0.0,77,0,0.0,0,3,3,3,20.0
2,9,0.0,6,5,0.0,0,3,3,3,20.0
2,37,0.0,72,1,50.0,0,3,3,3,20.0
2,24,0.0,6,7,0.0,0,3,3,3,20.0
2,27,0.0,6,8,0.0,0,3,3,3,20.0
2,4,0.0,6,9,0.0,0,3,3,3,20.0
2,26,0.0,30,2,0.0,0,3,3,3,20.0
2,30,0.0,72,0,0.0,0,3,3,3,20.0
2,3,0.0,30,13,0.0,0,3,3,3,20.0
2,0,0.0,30,9,0.0,0,3,3,3,20.0
2,22,0.0,87,1,160.0,0,3,3,3,20.0
2,29,0.0,53,0,140.0,0,3,3,3,20.0
2,25,0.0,86,0,150.0,0,3,3,3,20.0
2,23,0.0,8,0,0.0,0,3,3,3,20.0
2,1,0.0,30,11,0.0,0,3,3,3,20.0
2,2,0.0,16,0,0.0,0,3,3,3,20.0
4,5,0.0,37,0,190.0,0,3,3,3,30.0
4,39,0.0,39,0,160.0,0,3,3,3,30.0
4,19,0.0,36,0,30.0,0,3,3,3,30.0
4,13,0.0,61,0,80.0,0,3,3,3,30.0
4,42,0.0,89,0,690.0,0,3,3,3,30.0
4,14,0.0,93,0,510.0,0,3,3,3,30.0
4,37,0.0,7,0,0.0,0,3,3,3,30.0
4,0,0.0,59,1,60.0,0,3,3,3,30.0
4,11,0.0,78,0,100.0,0,3,3,3,30.0
4,8,0.0,59,2,60.0,0,3,3,3,30.0
4,10,0.0,92,0,380.0,0,3,3,3,30.0
4,29,0.0,51,0,30.0,0,3,3,3,30.0
4,33,0.0,48,1,20.0,0,3,3,3,30.0
4,17,0.0,31,1,0.0,0,3,3,3,30.0
4,4,0.0,31,3,0.0,0,3,3,3,30.0
4,23,0.0,31,0,0.0,0,3,3,3,30.0
4,6,0.0,0,3,0.0,0,3,3,3,10.0
4,27,0.0,52,0,100.0,0,3,3,3,30.0
4,24,0.0,7,1,0.0,0,3,3,3,30.0
4,16,0.0,30,10,0.0,0,3,3,3,30.0
4,15,0.0,87,0,150.0,0,3,3,3,30.0
4,1,0.0,58,1,50.0,0,3,3,3,30.0
4,32,0.0,52,0,30.0,0,3,3,3,30.0
4,34,20.0,0,8,0.0,0,3,3,3,10.0
4,21,0.0,0,17,0.0,0,3,3,3,10.0
5,0,30.0,0,13,0.0,0,3,3,3,10.0
5,1,0.0,57,0,30.0,0,3,3,3,40.0
5,2,0.0,53,0,220.0,0,3,3,3,40.0
