group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,10,0.0,44,0,20.0,1,6,6,6,10.0
0,16,0.0,24,0,0.0,1,6,6,6,10.0
0,15,0.0,34,0,10.0,1,6,6,6,10.0
0,3,0.0,53,0,40.0,1,6,6,6,10.0
0,0,0.0,33,0,10.0,1,6,6,6,10.0
0,2,0.0,49,0,30.0,1,6,6,6,10.0
0,11,0.0,32,1,10.0,1,6,6,6,10.0
0,4,0.0,5,0,80.0,1,6,6,6,10.0
0,8,0.0,58,0,20.0,1,6,6,6,10.0
0,12,0.0,31,0,10.0,1,6,6,6,10.0
0,6,0.0,43,0,370.0,1,6,6,6,10.0
0,13,0.0,32,0,10.0,1,6,6,6,10.0
0,5,0.0,46,0,20.0,1,6,6,6,10.0
0,1,0.0,25,1,0.0,1,6,6,6,10.0
0,14,0.0,25,2,0.0,1,6,6,6,10.0
0,9,0.0,25,0,0.0,1,6,6,6,10.0
0,7,0.0,45,0,20.0,1,6,6,6,10.0
1,1,0.0,44,0,10.0,1,6,6,6,10.0
1,0,0.0,24,1,0.0,1,6,6,6,10.0
1,2,0.0,31,0,0.0,1,6,6,6,10.0
1,3,0.0,32,0,0.0,1,6,6,6,10.0
2,1,0.0,53,0,30.0,1,6,6,6,10.0
2,3,0.0,32,1,0.0,1,6,6,6,10.0
2,0,0.0,34,0,0.0,1,6,6,6,10.0
2,2,0.0,33,0,0.0,1,6,6,6,10.0
3,0,0.0,44,0,0.0,1,6,6,6,10.0
4,1,0.0,19,7,0.0,1,6,6,6,100.0
4,3,0.0,19,1,0.0,1,6,6,6,100.0
4,2,0.0,22,0,0.0,1,6,6,6,100.0
4,11,0.0,55,0,490.0,1,6,6,6,100.0
4,15,0.0,19,8,0.0,1,6,6,6,100.0
4,9,0.0,10,0,1030.0,1,6,6,6,100.0
4,7,0.0,39,0,180.0,1,6,6,6,100.0
4,12,0.0,19,6,0.0,1,6,6,6,100.0
4,0,0.0,36,0,180.0,1,6,6,6,100.0
4,14,0.0,19,5,0.0,1,6,6,6,100.0
4,16,0.0,18,1,0.0,1,6,6,6,100.0
4,5,0.0,40,0,190.0,1,6,6,6,100.0
4,10,0.0,13,0,1590.0,1,6,6,6,100.0
4,13,0.0,20,0,0.0,1,6,6,6,100.0
4,6,0.0,50,1,370.0,1,6,6,6,100.0
4,8,0.0,28,0,2350.0,1,6,6,6,100.0
4,4,0.0,29,0,90.0,1,6,6,6,100.0
5,0,0.0,57,0,0.0,1,6,6,6,100.0
6,2,0.0,51,0,280.0,1,6,6,6,100.0
6,1,0.0,47,0,3990.0,1,6,6,6,100.0
6,3,0.0,29,1,0.0,1,6,6,6,100.0
6,0,0.0,8,0,840.0,1,6,6,6,100.0
6,4,0.0,29,2,0.0,1,6,6,6,100.0
7,0,0.0,30,0,120.0,1,6,6,6,110.0
8,0,0.0,47,0,2020.0,1,6,6,6,1130.0
9,1,0.0,35,1,0.0,1,6,6,6,120.0
9,0,0.0,30,0,0.0,1,6,6,6,120.0
10,0,0.0,28,0,0.0,1,6,6,6,1220.0
12,0,670.0,13,0,0.0,1,6,6,6,740.0
14,1,0.0,35,0,40.0,1,6,6,6,180.0
14,0,0.0,48,0,190.0,1,6,6,6,180.0
15,1,0.0,39,0,0.0,1,6,6,6,180.0
15,3,0.0,55,0,310.0,1,6,6,6,180.0
15,0,0.0,36,0,0.0,1,6,6,6,180.0
15,2,0.0,50,1,190.0,1,6,6,6,180.0
16,0,0.0,27,0,390.0,1,6,6,6,180.0
17,0,0.0,28,0,1980.0,1,6,6,6,180.0
18,1,0.0,27,0,1730.0,1,6,6,6,190.0
18,4,0.0,11,0,1060.0,1,6,6,6,190.0
18,3,0.0,12,0,1130.0,1,6,6,6,190.0
18,5,0.0,50,0,280.0,1,6,6,6,190.0
18,0,0.0,29,3,0.0,1,6,6,6,190.0
18,2,0.0,54,0,380.0,1,6,6,6,190.0
19,2,0.0,56,0,380.0,1,6,6,6,190.0
19,0,0.0,57,0,410.0,1,6,6,6,190.0
