group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,2,0.0,13,0,0.0,0,-1,7,6,8700.0
0,2,0.0,0,0,0.0,0,-1,5,7,8700.0
4,4,0.0,107,0,1770.0,0,-1,1,2,30.0
7,0,0.0,79,0,490.0,0,-1,3,4,60.0
12,0,0.0,128,0,50.0,0,-1,0,1,50.0
15,0,0.0,107,0,960.0,0,-1,1,2,660.0
21,0,0.0,79,0,0.0,0,-1,3,4,420.0
29,1,0.0,4,47,0.0,0,-1,0,1,10.0
29,0,0.0,0,0,0.0,0,-1,4,5,8700.0
34,1,0.0,49,0,0.0,0,-1,3,4,7360.0
37,0,0.0,107,0,1620.0,0,-1,1,2,130.0
45,0,0.0,128,0,100.0,0,-1,0,1,2270.0
47,0,0.0,128,0,10.0,0,-1,0,1,10.0
48,1,0.0,79,0,420.0,0,-1,3,4,70.0
49,0,810.0,27,0,0.0,0,-1,0,6,240.0
49,0,170.0,43,0,0.0,0,-1,0,6,640.0
49,0,30.0,30,0,0.0,0,-1,0,6,140.0
49,0,1050.0,47,0,0.0,0,-1,0,6,530.0
49,0,0.0,34,0,0.0,0,-1,2,3,7360.0
49,0,10.0,9,0,0.0,0,-1,0,6,20.0
65,0,0.0,29,0,0.0,0,-1,0,4,420.0
73,0,0.0,107,0,0.0,0,-1,1,2,960.0
84,0,0.0,128,0,20.0,0,-1,0,1,30.0
94,1,0.0,107,0,1750.0,0,-1,1,2,20.0
128,1,0.0,85,0,0.0,0,-1,1,0,3460.0
161,0,80.0,11,0,0.0,0,-1,1,0,110.0
161,0,10.0,20,0,0.0,0,-1,1,0,20.0
161,0,30.0,78,0,0.0,0,-1,1,0,50.0
