group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,0,1070.0,52,0,0.0,1,-1,5,4,680.0
0,1,0.0,52,0,680.0,1,-1,5,4,1750.0
0,2,0.0,52,0,2430.0,1,-1,5,4,170.0
0,0,0.0,15,0,370.0,1,-1,5,4,780.0
0,0,780.0,57,0,0.0,1,-1,5,4,290.0
12,0,0.0,0,2,1080.0,1,-1,6,7,670.0
28,0,1460.0,0,2,0.0,1,-1,6,7,1080.0
28,0,0.0,0,1,290.0,1,-1,6,7,1460.0
34,1,640.0,79,0,0.0,1,-1,3,4,1470.0
45,0,1060.0,25,0,0.0,1,-1,0,1,1270.0
45,0,240.0,4,47,0.0,1,-1,0,1,10.0
45,0,250.0,172,0,0.0,1,-1,0,1,810.0
47,0,0.0,0,1,1260.0,1,-1,6,5,490.0
47,0,3990.0,0,1,0.0,1,-1,6,7,290.0
47,0,2240.0,0,0,0.0,1,-1,6,7,1750.0
47,0,490.0,0,2,0.0,1,-1,6,5,1750.0
49,0,1190.0,46,3,0.0,1,-1,2,3,30.0
49,0,1160.0,41,7,0.0,1,-1,2,3,30.0
49,0,1260.0,87,0,0.0,1,-1,2,3,80.0
49,0,1360.0,0,1,0.0,1,-1,0,5,1260.0
49,0,1340.0,92,0,0.0,1,-1,2,3,770.0
49,0,1220.0,57,0,0.0,1,-1,2,3,40.0
49,0,0.0,0,0,390.0,1,-1,0,5,1360.0
58,1,0.0,74,0,370.0,1,-1,1,0,20.0
65,0,1540.0,49,0,0.0,1,-1,0,4,2130.0
65,0,0.0,34,1,570.0,1,-1,0,3,1540.0
85,0,4160.0,34,1,0.0,1,-1,0,3,570.0
85,0,2050.0,34,0,0.0,1,-1,0,3,2110.0
85,0,0.0,49,0,60.0,1,-1,0,2,2050.0
92,0,5420.0,0,0,0.0,1,-1,0,5,390.0
92,0,3670.0,29,0,0.0,1,-1,0,4,1750.0
100,2,0.0,74,0,340.0,1,-1,1,0,30.0
128,1,10.0,107,0,0.0,1,-1,1,2,4650.0
128,1,4660.0,49,0,0.0,1,-1,1,2,60.0
159,0,440.0,74,0,0.0,1,-1,1,0,260.0
161,0,5030.0,85,0,0.0,1,-1,1,0,2020.0
167,0,0.0,74,0,260.0,1,-1,1,0,80.0
