x1,x2,y1,y2,gi,gj
6237.0,9057.0,444.0,3207.0,417.0,0.0
1245.0,5082.0,2757.0,3948.0,415.0,0.0
3036.0,6237.0,801.0,2757.0,416.0,0.0
9060.0,10146.0,444.0,2898.0,414.0,0.0
5082.0,6237.0,2757.0,3768.0,413.0,0.0
10146.0,10593.0,444.0,2892.0,412.0,0.0
10668.0,11067.0,444.0,3084.0,411.0,0.0
2100.0,3036.0,948.0,1815.0,410.0,0.0
144.0,1245.0,3252.0,3936.0,409.0,0.0
6237.0,7776.0,3207.0,3528.0,408.0,0.0
1977.0,3036.0,2442.0,2757.0,407.0,0.0
4431.0,6237.0,627.0,801.0,406.0,0.0
2574.0,2943.0,1965.0,2442.0,405.0,0.0
7086.0,7863.0,222.0,444.0,404.0,0.0
9060.0,9837.0,2898.0,3087.0,403.0,0.0
6237.0,6900.0,3528.0,3738.0,402.0,0.0
621.0,1245.0,3054.0,3252.0,401.0,0.0
2349.0,4206.0,3948.0,4005.0,400.0,0.0
5532.0,6237.0,501.0,627.0,399.0,0.0
0.0,144.0,3384.0,3936.0,398.0,0.0
5082.0,5619.0,3768.0,3912.0,397.0,0.0
7776.0,8400.0,3207.0,3312.0,396.0,0.0
10593.0,10668.0,2211.0,3084.0,395.0,0.0
6651.0,6996.0,267.0,444.0,394.0,0.0
1611.0,1977.0,2592.0,2757.0,393.0,0.0
4104.0,4371.0,588.0,801.0,392.0,0.0
2625.0,2916.0,759.0,948.0,391.0,0.0
7302.0,7530.0,0.0,222.0,390.0,0.0
10341.0,10593.0,2892.0,3084.0,389.0,0.0
3732.0,4014.0,630.0,801.0,388.0,0.0
5187.0,5478.0,462.0,627.0,387.0,0.0
882.0,1245.0,2925.0,3054.0,386.0,0.0
6870.0,7020.0,0.0,267.0,385.0,0.0
2343.0,2574.0,2271.0,2442.0,384.0,0.0
3363.0,3642.0,672.0,801.0,383.0,0.0
5931.0,6198.0,369.0,501.0,382.0,0.0
4833.0,5100.0,495.0,627.0,382.0,1.0
6285.0,6564.0,318.0,444.0,381.0,0.0
2280.0,2538.0,819.0,948.0,380.0,0.0
2100.0,2190.0,585.0,948.0,379.0,0.0
5262.0,5550.0,222.0,321.0,378.0,0.0
2841.0,2946.0,495.0,756.0,377.0,0.0
2847.0,3747.0,4005.0,4035.0,376.0,0.0
6003.0,6273.0,129.0,228.0,375.0,0.0
6354.0,6639.0,84.0,177.0,374.0,0.0
5565.0,5844.0,408.0,501.0,373.0,0.0
2046.0,2286.0,2190.0,2298.0,372.0,0.0
5637.0,5922.0,177.0,267.0,371.0,0.0
4677.0,4776.0,267.0,525.0,370.0,0.0
3081.0,3348.0,495.0,588.0,369.0,0.0
3948.0,4041.0,363.0,627.0,368.0,0.0
1833.0,1932.0,2190.0,2436.0,367.0,0.0
4902.0,5181.0,267.0,354.0,366.0,0.0
3438.0,3720.0,447.0,531.0,365.0,0.0
2349.0,2610.0,585.0,675.0,364.0,0.0
9060.0,9432.0,3087.0,3150.0,363.0,0.0
0.0,90.0,3012.0,3270.0,362.0,0.0
4173.0,4449.0,363.0,447.0,361.0,0.0
4461.0,4746.0,546.0,627.0,360.0,0.0
216.0,447.0,3012.0,3111.0,359.0,0.0
2193.0,2328.0,2025.0,2187.0,356.0,0.0
954.0,1188.0,2688.0,2784.0,358.0,0.0
573.0,825.0,2859.0,2946.0,357.0,0.0
1476.0,1563.0,2355.0,2595.0,354.0,0.0
3120.0,3276.0,663.0,801.0,355.0,0.0
504.0,621.0,3087.0,3252.0,353.0,0.0
753.0,861.0,2688.0,2859.0,352.0,0.0
6900.0,7338.0,3528.0,3570.0,351.0,0.0
366.0,486.0,2859.0,3012.0,350.0,0.0
1113.0,1224.0,2529.0,2688.0,349.0,0.0
2412.0,2574.0,2025.0,2130.0,348.0,0.0
8400.0,8712.0,3207.0,3261.0,347.0,0.0
7776.0,8106.0,3312.0,3360.0,346.0,0.0
1680.0,1833.0,2355.0,2451.0,345.0,0.0
9837.0,9990.0,2898.0,2994.0,345.0,1.0
1752.0,2349.0,3948.0,3972.0,344.0,0.0
1314.0,1476.0,2529.0,2613.0,343.0,0.0
5406.0,5496.0,321.0,462.0,340.0,0.0
4533.0,4677.0,318.0,405.0,338.0,0.0
4206.0,4623.0,3948.0,3978.0,337.0,0.0
3480.0,3666.0,606.0,672.0,335.0,0.0
5589.0,5877.0,342.0,387.0,342.0,0.0
6309.0,6591.0,252.0,297.0,341.0,0.0
