n_group,n_partitions,num_div_y,num_div_x
0,243,3.0,3.0
1,326,6.0,3.0
2,37,3.0,6.0
3,260,9.0,3.0
4,93,3.0,9.0
5,41,12.0,3.0
6,30,6.0,6.0
7,173,3.0,12.0
8,87,15.0,3.0
9,11,3.0,15.0
10,31,18.0,3.0
11,73,9.0,6.0
12,16,6.0,9.0
13,44,3.0,18.0
14,2,21.0,3.0
15,13,3.0,21.0
16,18,12.0,6.0
17,45,6.0,12.0
18,30,3.0,24.0
19,27,9.0,9.0
20,9,3.0,27.0
21,71,15.0,6.0
22,16,6.0,15.0
23,10,3.0,30.0
24,1,33.0,3.0
25,3,3.0,33.0
26,35,18.0,6.0
27,8,12.0,9.0
28,5,9.0,12.0
29,6,6.0,18.0
30,2,3.0,36.0
31,5,3.0,39.0
32,2,42.0,3.0
33,8,21.0,6.0
34,27,6.0,21.0
35,1,45.0,3.0
36,19,15.0,9.0
37,1,9.0,15.0
38,16,3.0,45.0
39,1,48.0,3.0
40,36,24.0,6.0
41,5,12.0,12.0
42,22,6.0,24.0
43,14,3.0,48.0
44,2,51.0,3.0
45,2,3.0,51.0
46,7,27.0,6.0
47,9,18.0,9.0
48,3,6.0,27.0
49,3,3.0,54.0
50,2,3.0,57.0
51,2,30.0,6.0
52,2,15.0,12.0
53,1,6.0,30.0
54,13,21.0,9.0
55,9,3.0,63.0
56,4,6.0,33.0
57,1,3.0,66.0
58,4,3.0,69.0
59,19,24.0,9.0
60,1,18.0,12.0
61,4,12.0,18.0
62,5,9.0,24.0
63,9,6.0,36.0
64,2,3.0,72.0
65,2,15.0,15.0
66,2,3.0,75.0
67,3,6.0,39.0
68,3,27.0,9.0
69,1,9.0,27.0
70,2,84.0,3.0
71,1,42.0,6.0
72,1,21.0,12.0
73,1,6.0,42.0
74,1,87.0,3.0
75,1,90.0,3.0
76,1,45.0,6.0
77,6,30.0,9.0
78,1,9.0,30.0
79,8,6.0,45.0
80,1,3.0,90.0
81,1,93.0,3.0
82,2,3.0,93.0
83,2,96.0,3.0
84,1,48.0,6.0
85,4,24.0,12.0
86,1,12.0,24.0
87,1,6.0,48.0
88,8,33.0,9.0
89,6,9.0,33.0
90,3,3.0,99.0
91,4,6.0,51.0
92,3,36.0,9.0
93,3,27.0,12.0
94,19,9.0,36.0
95,1,6.0,54.0
96,1,6.0,57.0
97,1,117.0,3.0
98,9,9.0,39.0
99,1,3.0,117.0
100,16,30.0,12.0
101,2,24.0,15.0
102,4,6.0,60.0
103,2,9.0,42.0
104,3,6.0,63.0
105,2,3.0,126.0
106,2,3.0,129.0
107,14,33.0,12.0
108,1,6.0,66.0
109,1,3.0,132.0
110,1,45.0,9.0
111,5,27.0,15.0
112,10,9.0,45.0
113,3,36.0,12.0
114,10,12.0,36.0
115,3,9.0,48.0
116,5,30.0,15.0
117,2,9.0,51.0
118,11,39.0,12.0
119,2,12.0,39.0
120,1,81.0,6.0
121,2,9.0,54.0
122,2,33.0,15.0
123,4,42.0,12.0
124,2,24.0,21.0
125,1,21.0,24.0
126,1,12.0,42.0
127,1,9.0,57.0
128,2,45.0,12.0
129,6,36.0,15.0
130,2,15.0,36.0
131,5,12.0,45.0
132,1,6.0,93.0
133,1,96.0,6.0
134,5,12.0,48.0
135,4,39.0,15.0
136,1,99.0,6.0
137,3,33.0,18.0
138,1,12.0,51.0
139,1,105.0,6.0
140,3,42.0,15.0
141,1,54.0,12.0
142,3,36.0,18.0
143,2,27.0,24.0
144,1,12.0,54.0
145,1,15.0,45.0
146,2,12.0,57.0
147,2,39.0,18.0
148,1,60.0,12.0
149,1,24.0,30.0
150,3,42.0,18.0
151,2,51.0,15.0
152,1,12.0,66.0
153,1,90.0,9.0
154,2,45.0,18.0
155,3,39.0,21.0
156,4,6.0,138.0
157,2,9.0,93.0
158,2,6.0,141.0
159,2,48.0,18.0
160,3,12.0,72.0
161,1,9.0,96.0
162,3,6.0,150.0
163,1,51.0,18.0
164,2,24.0,39.0
165,1,6.0,156.0
166,1,63.0,15.0
167,1,54.0,18.0
168,1,27.0,39.0
169,1,51.0,21.0
170,2,15.0,72.0
171,1,12.0,90.0
172,1,12.0,93.0
173,3,9.0,126.0
174,1,6.0,192.0
175,1,9.0,129.0
176,1,15.0,78.0
177,1,6.0,195.0
178,1,99.0,12.0
179,1,12.0,99.0
180,1,9.0,132.0
181,1,57.0,21.0
182,1,81.0,15.0
183,2,18.0,69.0
184,1,9.0,138.0
185,1,60.0,21.0
186,1,15.0,84.0
187,1,12.0,105.0
188,1,9.0,141.0
189,2,18.0,72.0
190,2,15.0,87.0
191,1,90.0,15.0
192,7,18.0,75.0
193,1,9.0,150.0
194,1,6.0,225.0
195,2,66.0,21.0
196,1,21.0,66.0
197,1,93.0,15.0
198,1,18.0,78.0
199,2,15.0,96.0
200,2,69.0,21.0
201,2,18.0,81.0
202,1,84.0,18.0
203,2,72.0,21.0
204,7,63.0,24.0
205,1,18.0,84.0
206,1,57.0,27.0
207,1,21.0,75.0
208,1,66.0,24.0
209,1,60.0,27.0
210,1,9.0,180.0
211,5,69.0,24.0
212,1,81.0,21.0
213,2,63.0,27.0
214,1,15.0,114.0
215,2,72.0,24.0
216,1,21.0,84.0
217,2,18.0,99.0
218,1,60.0,30.0
219,2,24.0,75.0
220,1,87.0,21.0
221,3,21.0,87.0
